customer_id,customer_name,segment,sales,profit,orders
SM-20320,Sean Miller,Home Office,25043.05,-1980.7393,5
TC-20980,Tamara Chand,Corporate,19052.218,8981.323900000001,5
RB-19360,Raymond Buch,Consumer,15117.339,6976.0959,6
TA-21385,Tom Ashbrook,Home Office,14595.62,4703.7883,4
AB-10105,Adrian Barton,Consumer,14473.570999999998,5444.8055,10
KL-16645,Ken Lonsdale,Consumer,14175.229000000001,806.855,12
SC-20095,Sanjit Chand,Consumer,14142.333999999999,5757.411899999999,9
HL-15040,Hunter Lopez,Consumer,12873.297999999999,5622.4292000000005,6
SE-20110,Sanjit Engle,Consumer,12209.438000000002,2650.6769,11
CC-12370,Christopher Conant,Consumer,12129.072000000002,2177.0493,5
TS-21370,Todd Sumrall,Corporate,11891.751,2371.7144000000003,6
GT-14710,Greg Tran,Consumer,11820.119999999999,2163.4269,11
BM-11140,Becky Martin,Consumer,11789.63,-1659.9580999999998,4
SV-20365,Seth Vernon,Consumer,11470.949999999999,1199.4242,10
CJ-12010,Caroline Jumper,Consumer,11164.974,858.7414,8
CL-12565,Clay Ludtke,Consumer,10880.546,1933.7830999999999,12
ME-17320,Maria Etezadi,Home Office,10663.728000000001,1859.4695,10
KF-16285,Karen Ferguson,Home Office,10604.266,1660.1386,7
BS-11365,Bill Shonely,Corporate,10501.653,2616.0643999999998,5
EH-13765,Edward Hooks,Corporate,10310.880000000001,1393.5154,12
JL-15835,John Lee,Consumer,9799.923,228.907,11
GT-14635,Grant Thornton,Corporate,9351.212,-4108.6589,3
HW-14935,Helen Wasserman,Corporate,9300.254,2164.1611,8
TB-21400,Tom Boeckenhauer,Consumer,9133.99,2798.3689,7
PF-19120,Peter Fuller,Consumer,9062.864,-614.2943000000001,4
CM-12385,Christopher Martinez,Consumer,8954.019999999999,3899.8903999999998,4
JD-16150,Justin Deggeller,Corporate,8828.0305,1619.5199,8
JE-15715,Joe Elijah,Consumer,8697.842999999999,1262.2926,10
LA-16780,Laura Armstrong,Corporate,8673.222,2059.1199,11
PK-19075,Pete Kriz,Consumer,8646.934,2038.2676000000001,12
DR-12940,Daniel Raglin,Home Office,8350.868,2869.0759999999996,8
NF-18385,Natalie Fritzler,Consumer,8322.826,-1695.9714,7
KD-16270,Karen Daniels,Consumer,8282.358,1107.6952000000003,5
NC-18535,Nick Crebassa,Corporate,8241.739,1314.758,7
HM-14860,Harry Marie,Corporate,8236.7648,2437.9836,10
KD-16495,Keith Dawkins,Corporate,8181.256,3038.6254,12
SB-20290,Sean Braxton,Corporate,8057.891,-2082.7451,7
ZC-21910,Zuschuss Carroll,Consumer,8025.707,-1032.1490000000001,13
JH-15985,Joseph Holt,Consumer,7954.9980000000005,-644.6982,6
NP-18700,Nora Preis,Consumer,7903.1825,631.2282,7
AH-10690,Anna HÃ¤berlin,Corporate,7888.294,1298.0166,12
AB-10060,Adam Bellavance,Home Office,7755.62,2054.5885,8
JE-15610,Jim Epp,Corporate,7754.976,1623.4019,7
JW-15220,Jane Waco,Corporate,7721.714,2173.7093999999997,6
LC-16885,Lena Creighton,Consumer,7663.126,1288.3469,12
JM-15865,John Murray,Consumer,7625.076000000001,1574.6163999999999,7
JD-15895,Jonathan Doherty,Corporate,7610.8640000000005,1050.2667999999999,11
PO-18850,Patrick O'Brill,Consumer,7473.8282,38.47569999999996,11
MS-17365,Maribeth Schnelling,Consumer,7443.6900000000005,844.9354999999998,10
RW-19540,Rick Wilson,Corporate,7397.401,1586.6273,7
BM-11650,Brian Moss,Corporate,7294.185,2199.2781,11
PP-18955,Paul Prost,Home Office,7252.608,1495.0854,10
NW-18400,Natalie Webber,Consumer,7234.014,1023.123,7
Dp-13240,Dean percer,Home Office,7198.7609999999995,333.36479999999995,11
FH-14365,Fred Hopkins,Corporate,6987.196,2050.2826,8
RH-19510,Rick Huthwaite,Home Office,6979.18,1289.4535,6
PS-19045,Penelope Sewall,Home Office,6843.634,1742.7296999999999,7
BB-11545,Brenda Bowman,Corporate,6765.728,1015.0749999999999,9
JE-15745,Joel Eaton,Consumer,6760.8150000000005,221.79670000000002,13
YS-21880,Yana Sorensen,Corporate,6720.4439999999995,1778.2923,8
AR-10540,Andy Reiter,Consumer,6608.448,2884.6208,6
DR-12880,Dan Reichenbach,Corporate,6528.034000000001,1641.8613,9
GK-14620,Grace Kelly,Corporate,6497.27,1448.5525,9
JA-15970,Joseph Airdo,Consumer,6491.026,-819.4217000000001,8
NM-18445,Nathan Mautz,Home Office,6459.344,2751.6848999999997,7
VD-21670,Valerie Dominguez,Consumer,6442.254,1617.7874000000002,6
SB-20185,Sarah Brown,Consumer,6410.996,885.4623999999999,6
JG-15160,James Galang,Consumer,6366.392,1415.6664,11
DM-13015,Darrin Martin,Consumer,6345.103,1677.3931,7
CM-12655,Corinna Mitchell,Home Office,6339.5576,1572.4585,6
MJ-17740,Max Jones,Consumer,6320.746,1054.5529000000001,7
BH-11710,Brosina Hoffman,Consumer,6255.351,802.7898,8
RL-19615,Rob Lucas,Consumer,6234.91,488.14840000000004,8
WB-21850,William Brown,Consumer,6160.102,714.3311,11
VW-21775,Victoria Wilson,Corporate,6134.0380000000005,-874.6645,10
SD-20485,Shirley Daniels,Home Office,6121.114,1985.1671999999999,9
QJ-19255,Quincy Jones,Corporate,6108.338,1203.6768,9
AD-10180,Alan Dominguez,Home Office,6106.88,1869.9294,8
CB-12025,Cassandra Brandow,Consumer,6076.139,150.2089,10
GM-14695,Greg Maxwell,Corporate,6049.966,188.7235,3
SC-20380,Shahid Collister,Consumer,5992.536,236.66149999999996,9
KH-16690,Kristen Hastings,Corporate,5990.799,1227.5091,7
RM-19675,Robert Marley,Home Office,5979.0960000000005,1902.5438000000001,5
KH-16510,Keith Herrera,Consumer,5952.859,656.1162,7
BF-11170,Ben Ferrer,Home Office,5907.972,1538.2127,11
CP-12340,Christine Phan,Corporate,5888.275,-1850.3029000000001,8
BD-11320,Bill Donatelli,Consumer,5718.521,1094.5037,12
CS-12505,Cindy Stewart,Consumer,5690.054999999999,-6626.389499999999,6
AM-10705,Anne McFarland,Consumer,5664.022,1085.7326,8
RB-19795,Ross Baird,Home Office,5633.316000000001,-461.73319999999995,8
KM-16375,Katherine Murray,Home Office,5620.186,973.7901999999999,8
AA-10315,Alex Avila,Consumer,5563.56,-362.8825,5
SM-20950,Suzanne McNair,Corporate,5563.392,581.5741999999999,12
NP-18325,Naresj Patel,Consumer,5529.62,1208.8890000000001,6
AC-10450,Amy Cox,Consumer,5527.846,1366.0098,7
MH-18115,Mick Hernandez,Home Office,5503.093,170.9746,9
DP-13390,Dennis Pardue,Home Office,5480.723999999999,1571.8318,9
EP-13915,Emily Phan,Consumer,5478.0608,144.9578,17
YC-21895,Yoseph Carroll,Corporate,5454.35,1305.629,5
SP-20620,Stefania Perrino,Corporate,5440.319,-270.42819999999995,9
LW-17215,Luke Weiss,Consumer,5420.514,837.2411,7
CP-12085,Cathy Prescott,Corporate,5402.254,427.0258,8
TS-21205,Thomas Seio,Corporate,5371.09,862.8877,7
TT-21460,Tonja Turnell,Home Office,5364.808,1124.4999,7
MW-18220,Mitch Webber,Consumer,5341.900000000001,1238.422,7
TP-21415,Tom Prescott,Consumer,5329.0048,-1087.3898,5
TW-21025,Tamara Willingham,Home Office,5278.826,737.3905,7
DW-13480,Dianna Wilson,Home Office,5271.628,1348.7556,5
MW-18235,Mitch Willingham,Corporate,5253.876,1665.516,2
HR-14830,Harold Ryan,Corporate,5248.787,1196.9504,7
SC-20725,Steven Cartwright,Consumer,5226.21,1276.6513,11
RP-19390,Resi PÃ¶lking,Consumer,5153.084,465.25030000000015,12
LR-16915,Lena Radford,Consumer,5142.892,535.4764,6
MP-18175,Mike Pelletier,Home Office,5087.92,226.4529,9
AA-10645,Anna Andreadi,Consumer,5086.9349999999995,857.8033,6
IL-15100,Ivan Liston,Consumer,5040.736,1121.937,7
KL-16555,Kelly Lampkin,Corporate,5016.488,-182.78130000000002,8
DH-13075,Dave Hallsten,Corporate,4932.872,1193.7404,6
IM-15070,Irene Maddox,Consumer,4930.474,514.6527,7
TT-21070,Ted Trevino,Consumer,4915.602,751.9567,7
KM-16720,Kunst Miller,Consumer,4909.472,745.7685,8
PO-19180,Philisse Overcash,Home Office,4893.043,1155.4331,9
HK-14890,Heather Kirkland,Corporate,4877.784,956.9451,8
AJ-10780,Anthony Jacobs,Corporate,4867.344,150.71300000000005,7
JK-15730,Joe Kamberova,Consumer,4867.2,55.0483,10
AH-10210,Alan Hwang,Consumer,4805.344,1308.5546,9
DK-13225,Dean Katz,Corporate,4802.394,209.89940000000004,9
RA-19915,Russell Applegate,Consumer,4793.543,304.8673,9
SA-20830,Sue Ann Reed,Consumer,4767.3415,610.1496000000001,10
JK-15640,Jim Kriz,Home Office,4760.434,1172.5303,9
BW-11110,Bart Watters,Corporate,4750.358,921.2574,8
TB-21520,Tracy Blumstein,Consumer,4737.486,-1603.0451,9
GB-14575,Giulietta Baptist,Consumer,4716.288,1135.8393,5
RB-19465,Rick Bensley,Home Office,4715.466,640.5466,12
LB-16795,Laurel Beltran,Home Office,4704.304,-40.13219999999996,8
ES-14080,Erin Smith,Corporate,4657.924,246.6661,9
DB-13270,Deborah Brumfield,Home Office,4655.897,841.8263999999999,8
KT-16480,Kean Thornton,Consumer,4642.088400000001,194.0671,10
SC-20050,Sample Company A,Home Office,4624.572,1011.7443,9
EM-14140,Eugene Moren,Home Office,4588.436000000001,1319.3655,6
DB-13060,Dave Brooks,Consumer,4531.646,473.0272,7
AR-10825,Anthony Rawles,Corporate,4523.336,494.83519999999993,8
AG-10900,Arthur Gainer,Consumer,4510.797,343.6824,10
AJ-10795,Anthony Johnson,Corporate,4501.391,1158.7064,7
LC-16930,Linda Cazamias,Corporate,4492.946,288.26599999999996,8
SC-20770,Stewart Carmichael,Corporate,4492.657,-671.1874,7
TP-21130,Theone Pippenger,Consumer,4454.0560000000005,1129.1261,9
MC-17425,Mark Cousins,Corporate,4432.138,1802.3903,5
JK-15205,Jamie Kunitz,Consumer,4427.142,1219.983,5
KW-16435,Katrina Willman,Consumer,4416.5199999999995,1756.135,5
BD-11500,Bradley Drucker,Consumer,4411.2429999999995,1142.1225,6
AI-10855,Arianne Irving,Consumer,4375.786,867.7271000000001,10
SC-20230,Scot Coram,Corporate,4371.9580000000005,440.14099999999996,4
EB-13840,Ellis Ballard,Corporate,4358.128,656.1988,5
GZ-14470,Gary Zandusky,Consumer,4355.150000000001,1087.7539,9
SR-20740,Steven Roelle,Home Office,4345.8859999999995,1990.4243999999999,8
ND-18370,Natalie DeCherney,Consumer,4326.139,353.64549999999997,9
MA-17560,Matt Abelman,Home Office,4299.161,1240.2266,11
SP-20860,Sung Pak,Corporate,4282.94,566.7226,10
DK-12895,Dana Kaydos,Consumer,4282.176,937.6496,5
RD-19480,Rick Duston,Consumer,4272.93,480.594,8
TC-21295,Toby Carlisle,Consumer,4266.812,606.3727,8
AS-10225,Alan Schoenberger,Corporate,4260.784,719.7751000000001,5
FH-14275,Frank Hawley,Corporate,4256.272,1073.2676,10
CB-12535,Claudia Bergmann,Corporate,4246.4555,1049.5601,8
TH-21550,Tracy Hopkins,Home Office,4234.0960000000005,-571.9678,7
BE-11335,Bill Eplett,Home Office,4204.676,1487.7739000000001,5
JF-15565,Jill Fjeld,Consumer,4198.332,1073.2088,8
GH-14425,Gary Hwang,Consumer,4172.8460000000005,1176.4181,4
RS-19765,Roland Schwarz,Corporate,4159.7699999999995,1206.3851,8
MY-18295,Muhammed Yedwab,Corporate,4152.696,-371.7111,11
PM-19135,Peter McVee,Home Office,4115.662,526.7537,4
SV-20785,Stewart Visinsky,Consumer,4105.305,485.0272,9
DM-13345,Denise Monton,Corporate,4074.4719999999998,1319.0586,8
FP-14320,Frank Preis,Consumer,4046.746,406.44730000000004,8
SP-20920,Susan Pistek,Consumer,3990.689,14.692400000000003,6
CM-12715,Craig Molinari,Corporate,3984.4524,176.3108,4
MP-17965,Michael Paige,Corporate,3983.6420000000003,638.1563,9
SC-20305,Sean Christensen,Consumer,3979.065,229.1617,7
SJ-20125,Sanjit Jacobs,Home Office,3949.656,144.1189,12
LF-17185,Luke Foster,Consumer,3930.5089999999996,-3583.977,7
PW-19240,Pierre Wener,Consumer,3922.4150000000004,1290.354,7
GA-14515,George Ashbrook,Consumer,3919.7760000000003,840.899,8
KH-16630,Ken Heidel,Corporate,3918.9660000000003,727.3786,9
CC-12220,Chris Cortes,Consumer,3913.418,393.9618,12
DB-13555,Dorothy Badders,Corporate,3908.8028,109.32700000000001,7
NP-18670,Nora Paige,Consumer,3908.402,514.6002,5
KC-16540,Kelly Collister,Consumer,3908.262,709.4219,4
FC-14335,Fred Chung,Corporate,3889.366,714.2926,7
BS-11380,Bill Stewart,Corporate,3887.834,-17.532200000000024,5
JS-15880,John Stevenson,Consumer,3868.02,564.9798000000001,5
RA-19885,Ruben Ausman,Corporate,3832.314,1292.8656,7
AT-10735,Annie Thurman,Consumer,3831.864,974.107,10
OT-18730,Olvera Toch,Consumer,3818.624,-925.1203,5
RO-19780,Rose O'Brian,Consumer,3815.478,-1262.5716000000002,7
MC-17845,Michael Chen,Consumer,3805.714,698.4174,7
MM-17920,Michael Moore,Consumer,3794.0800000000004,82.12499999999997,11
CA-11965,Carol Adams,Corporate,3789.7228,1143.3817,6
MG-17650,Matthew Grinstein,Home Office,3785.276,341.898,7
MD-17350,Maribeth Dona,Consumer,3766.382,-241.94999999999996,7
JK-15625,Jim Karlsson,Consumer,3760.028,750.9485,7
JK-16090,Juliana Krohn,Consumer,3747.668,586.6625,3
FM-14290,Frank Merwin,Home Office,3736.198,198.10949999999997,9
SC-20260,Scott Cohen,Corporate,3729.7929999999997,671.0033999999999,8
HG-15025,Hunter Glantz,Consumer,3690.284,804.6113,7
BP-11185,Ben Peterman,Corporate,3675.861,363.5991,9
LP-17095,Liz Preis,Consumer,3653.399,338.44539999999995,7
CS-12400,Christopher Schild,Home Office,3651.8585000000003,-342.80330000000004,9
EB-13705,Ed Braxton,Corporate,3644.978,13.621500000000005,9
JP-15520,Jeremy Pistek,Consumer,3635.594,757.1802,7
SZ-20035,Sam Zeldin,Home Office,3625.329,366.43030000000005,11
RH-19495,Rick Hansen,Consumer,3621.3759999999997,563.7877,5
TB-21175,Thomas Boland,Corporate,3589.296,829.1635,4
GM-14440,Gary McGarr,Consumer,3582.8199999999997,347.266,7
DL-13495,Dionis Lloyd,Corporate,3539.322,-52.78799999999997,8
ES-14020,Erica Smith,Consumer,3510.4579999999996,1003.2935,5
RW-19690,Robert Waldorf,Consumer,3495.646,707.5503,5
AG-10675,Anna Gayman,Consumer,3489.0396000000005,-246.42570000000003,7
ED-13885,Emily Ducich,Home Office,3484.92,670.4435000000001,8
PW-19030,Pauline Webber,Corporate,3454.916,803.8169,10
SF-20200,Sarah Foster,Consumer,3422.7859999999996,286.9046,9
FC-14245,Frank Carlisle,Home Office,3418.742,1217.1662000000001,7
SH-19975,Sally Hughsby,Corporate,3406.8395,558.4739999999999,13
SG-20080,Sandra Glassco,Consumer,3406.5809999999997,570.438,3
TS-21655,Trudy Schmidt,Consumer,3368.094,220.91629999999998,5
SC-20020,Sam Craven,Consumer,3362.9636,-317.0508,5
VP-21760,Victoria Pisteka,Corporate,3360.526,-1018.7768,7
DJ-13630,Doug Jacobs,Consumer,3356.398,731.5644,3
DV-13465,Dianna Vittorini,Consumer,3341.587,353.2127,6
SF-20965,Sylvia Foulston,Corporate,3336.535,539.9352,9
DC-12850,Dan Campbell,Consumer,3336.168,-1441.6312999999998,9
